"Line Code","Direction","Stop Code","Stop ID","Chinese Name","English Name","Sequence"
"720*","1","SHL","100","兆康","Siu Hong",1.00
"720*","1","LTE","350","藍地","Lam Tei",2.00
"720*","1","NAW","360","泥圍","Nai Wai",3.00
"720*","1","CUT","370","鍾屋村","Chung Uk Tsuen",4.00
"720*","1","HSK","380","洪水橋","Hung Shui Kiu",5.00
"720*","1","HMT","425","坑尾村","Hang Mei Tsuen",6.00
"720*","1","TIY","445","天耀","Tin Yiu",7.00
"720*","1","LOC","448","樂湖","Locwood",8.00
"720*","1","TSU","460","天瑞","Tin Shui",9.00
"720*","1","CHE","490","翠湖","Chestwood",10.00
"720*","1","TWI","500","天榮","Tin Wing",11.00
