"Line Code","Direction","Stop Code","Stop ID","Chinese Name","English Name","Sequence"
"751P","1","TSL","430","天水圍","Tin Shui Wai",1.00
"751P","1","TIT","435","天慈","Tin Tsz",2.00
"751P","1","TWU","450","天湖","Tin Wu",3.00
"751P","1","GIN","455","銀座","Ginza",4.00
"751P","1","TWI","500","天榮","Tin Wing",5.00
"751P","1","CHE","490","翠湖","Chestwood",6.00
"751P","1","CHF","468","頌富","Chung Fu",7.00
"751P","1","TFU","480","天富","Tin Fu",8.00
"751P","1","TYA","550","天逸","Tin Yat",9.00
"751P","1","TYA","550","天逸","Tin Yat",10.00
"751P","2","TYA","550","天逸","Tin Yat",1.00
"751P","2","TFU","480","天富","Tin Fu",2.00
"751P","2","CHF","468","頌富","Chung Fu",3.00
"751P","2","CHE","490","翠湖","Chestwood",4.00
"751P","2","TWI","500","天榮","Tin Wing",5.00
"751P","2","GIN","455","銀座","Ginza",6.00
"751P","2","TWU","450","天湖","Tin Wu",7.00
"751P","2","TIT","435","天慈","Tin Tsz",8.00
"751P","2","TSL","430","天水圍","Tin Shui Wai",9.00
